Managerial Mental Accounting and Downstream Project Decisions,,Manel Baucells,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02929,MS
Too Many Meetings? Scheduling Rules for Team Coordination,,Guillaume Roels,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03227,MS
Learning to Order for Inventory Systems with Lost Sales and Uncertain Supplies,,Boxiao Chen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02476,MS
Inefficient Forecasts at the Sportsbook: An Analysis of Real-Time Betting Line Movement,,Jay Simon,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00456,MS
The Real Effects of Shadow Banking: Evidence from China,,Xuan Tian,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00953,MS
The Prediction Order Effect: People Are More Likely to Choose Improbable Outcomes in Later Predictions,,Jackie Silverman,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01175,MS
Editorial Statement—Business Strategy,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2024.Bststmt.v70.n4,MS
Organizational and Economic Obstacles to Automation: A Cautionary Tale from AT&T in the Twentieth Century,,James Feigenbaum,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01760,MS
Optimal Decision Making Under Strategic Behavior,,Stratis Tsirtsis,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02567,MS
The Value of Regulators as Monitors: Evidence from Banking,,Emilio Bisetti,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03083,MS
Disaster Lending: “Fair” Prices but “Unfair” Access,,Taylor A. Begley,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03199,MS
Are Audit Committees Overloaded? Evidence from the Effect of Financial Risk Management Oversight on Financial Reporting Quality,,Musaib Ashraf,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00360,MS
"Mapping U.S.–China Technology Decoupling: Policies, Innovation, and Firm Performance",,Pengfei Han,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02057,MS
Nontraded Sector Growth Risks and Economic Sizes in International Asset Pricing,,Thuy-Duong Tô,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03697,MS
Climate Regulation and Emissions Abatement: Theory and Evidence from Firms’ Disclosures,,Tarun Ramadorai,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.00482,MS
"Disclosure, Materiality Thresholds, and the Cost of Capital: Evidence from Federal Open Market Committee Announcements",,Michael Dambra,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01896,MS
Do Employee Interests Affect Target Board Decisions About Acquisition Offers? Evidence from Changes in Unemployment Insurance,,Lixiong Guo,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01379,MS
Liberalizing Home-Based Business,,Sumit Agarwal,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.04232,MS
Dispersion of Beliefs Bounds: Sentimental Recovery,,Altan Pazarbaşı,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01587,MS
"Disruptions, Redundancy Strategies, and Performance of Small Firms: Evidence from Uganda",,Amrita Kundu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4978,MS
Proximate (Co-)Working: Knowledge Spillovers and Social Interactions,,Maria P. Roche,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03555,MS
Incentive Auction Design Alternatives: A Simulation Study,,Neil Newman,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.02489,MS
Unifying Procedure-Dependent Preference Reversals: Theory and Experiments,,Liang Guo,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02640,MS
Takeover Protections and Asset Prices,,Assaf Eisdorfer,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03111,MS
"Political Influence, Bank Capital, and Credit Allocation",,Sheng Huang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.04056,MS
Are Political and Charitable Giving Substitutes? Evidence from the United States,,Pinar Yildirim,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.00845,MS
Retail Buyer and Manufacturer Influence,,Upender Subramanian,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01646,MS
Risk Hedging and Loan Covenants,,Ilona Babenko,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01616,MS
"Global Financial Cycle, Household Credit, and Macroprudential Policies",,Mircea Epure,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2024.4981,MS
Transient Customer Response to Data Breaches of Their Information,,Sumit Agarwal,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01335,MS
Data Deserts and Black Boxes: The Impact of Socio-Economic Status on Consumer Profiling,,Nico Neumann,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4979,MS
"Online Advertising, Data Sharing, and Consumer Control",,Justin P. Johnson,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03385,MS
Participation vs. Effectiveness in Sponsored Tweet Campaigns: A Quality-Quantity Conundrum,,Jing Peng,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2019.01897,MS
Optimal Cross-Sectional Regression,,Zhipeng Liao,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4966,MS
Continuity of Care Increases Physician Productivity in Primary Care,,Harshita Kajaria-Montag,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02015,MS
“Zero Cost” Majority Attacks on Permissionless Proof of Work Blockchains,,Joshua S. Gans,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.02426,MS
Preference Externality Estimators: A Comparison of Border Approaches and IVs,,Xing Li,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4977,MS
Technology and Disintermediation in Online Marketplaces,,Grace Y. Gu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02736,MS
Media Attention and Event-Based Grouping of Stocks: An Examination of Stocks Hyped by Media Outlets as Benefiting from the Olympics,,Patricia Dechow,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02218,MS
Big Fish in Small Ponds: Human Capital Migration and the Rise of Boutique Banks,,Janet Gao,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03829,MS
Trust-and-Evaluate: A Dynamic Nonmonetary Mechanism for Internal Capital Allocation,,Shivam Gupta,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01121,MS
Do Credit Rating Agencies Learn from the Options Market?,,Paul Brockman,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4980,MS
Understanding Cooperation in an Intertemporal Context,,Felix Kölle,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.03757,MS
Optimal Discoverability on Platforms,,Andrei Hagiu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.02362,MS
The Effects of Betrayal Aversion on Effort Provision When Incentives Are Fragile,,Volker Benndorf,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02405,MS
Compatibility and Information Asymmetry in Online Matching Platforms,,Amit Basu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03807,MS
Sequential Search with Acquisition Uncertainty,,David B. Brown,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00203,MS
A Continuous Time Framework for Sequential Goal-Based Wealth Management,,Agostino Capponi,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02047,MS
The Spillover Effects of Capacity Pooling in Hospitals,,Jong Myeong Lim,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02202,MS
Market Consequences of Sovereign Accounting Errors,,Marion Boisseau-Sierra,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.00724,MS
The Risk of Expected Utility Under Parameter Uncertainty,,Nathan Lassance,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.00178,MS
How Do Consumers Interact with Digital Expert Advice? Experimental Evidence from Health Insurance,,M. Kate Bundorf,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.02453,MS
Cooperation in Queueing Systems,,Yaroslav Rosokha,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.00603,MS
The Voice of Customers in Customization,,Liang Guo,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.04025,MS
Customer Preferences for Delivery Service Attributes in Attended Home Delivery,,Pedro Amorim,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.01274,MS
Helping Small Businesses Become More Data-Driven: A Field Experiment on eBay,,Sagit Bar-Gill,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02026,MS
Investor Regret and Stock Returns,,Y. Eser Arisoy,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03389,MS
"Probabilistic Outcomes Are Valued Less in Expectation, Even Conditional on Their Realization",,Gabriele Paolacci,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02284,MS
Gender Quotas in Hiring Committees: A Boon or a Bane for Women?,,Pierre Deschamps,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01637,MS
Indication-Based Pricing for Multi-Indication Drugs,,Elodie Adida,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01721,MS
Proximity and Knowledge Spillovers: Evidence from the Introduction of New Airline Routes,,John (Jianqiu) Bai,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01717,MS
Erratum on “Demonstrations and Price Competition in New Product Release”,,Zhiqiang Chen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.03030,MS
"Overconfidence in Probability Distributions: People Know They Don’t Know, but They Don’t Know What to Do About It",,Jack B. Soll,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2019.00660,MS
"Safe Bets, Long Shots, and Toss-Ups: Strategic Engagements Between Activists and Firms",,Guy L. F. Holburn,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01638,MS
"Treat, Dump, or Export? How Domestic and International Waste Management Policies Shape Waste Chain Outcomes",,Sytske C. Wijnsma,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02061,MS
When Nash Meets Stackelberg,,Margarida Carvalho,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03418,MS
How Large are Predefault Costs of Financial Distress? Estimates from a Dynamic Model,,Redouane Elkamhi,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4974,MS
Contest Schemes and Dynamic Incentive Provision,,Qintao Fan,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00035,MS
Bounds and Heuristics for Multiproduct Pricing,,Guillermo Gallego,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.04173,MS
When Bankers Go to Hail: Insights into Fed–Bank Interactions from Taxi Data,,Daniel Bradley,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4885,MS
Sampling Bias in Entrepreneurial Experiments,,Ruiqing Cao,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01740,MS
Optimal Experimental Design for Staggered Rollouts,,Ruoxuan Xiong,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4928,MS
Stockpiling at the Onset of the COVID-19 Pandemic: An Empirical Analysis of National Prescription Drug Sales and Prices,,Minje Park,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.04150,MS
The SEC’s Short-Sale Experiment: Evidence on Causal Channels and Reassessment of Indirect Effects,,Bernard S. Black,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4918,MS
Personal Taxes and Firm Skill Hiring: Evidence from 27 Million Job Postings,,Murillo Campello,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01211,MS
A Regularized High-Dimensional Positive Definite Covariance Estimator with High-Frequency Data,,Liyuan Cui,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.04138,MS
On the Causal Effect of Fame on Citations,,Jonathan Brogaard,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00840,MS
Attention and Biases: Evidence from Tax-Inattentive Investors,,Justin Birru,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02516,MS
Quantifying the Impact of Impact Investing,,Andrew W. Lo,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01168,MS
"Informal Cross-Border Trade in Africa: Operations, Policy, and Opportunities",,Jimin Park,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02479,MS
Replicating and Digesting Anomalies in the Chinese A-Share Market,,Zhibing Li,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4904,MS
How APIs Create Growth by Inverting the Firm,,Seth G. Benzell,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4968,MS
Unpacking Overconfident Behavior When Betting on Oneself,,Mohammed Abdellaoui,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.00165,MS
Weak Signal Asymptotics for Sequentially Randomized Experiments,,Xu Kuang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4964,MS
The Impact of Family-Based Human Capital on Corporate Innovation: Evidence from Sibling-Chairpersons in China,,Nianhang Xu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4965,MS
Attention and Dread: Experimental Evidence on Preferences for Information,,Armin Falk,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4975,MS
The Gender Gap in Meaningful Work,,Vanessa C. Burbano,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01807,MS
Motivating Experts to Contribute to Digital Public Goods: A Personalized Field Experiment on Wikipedia,,Yan Chen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4852,MS
Choosing to Discover the Unknown: The Effects of Choice on User Attention to Online Video Advertising,,Cheng Luo,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2019.03291,MS
Inferring Intermediary Risk Exposure from Trade,,Chris Anderson,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01831,MS
Co-Opetition and the Firm’s Information Environment,,Brian J. Bushee,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03152,MS
Not All Shocks Are Created Equal: Assessing Heterogeneity in the Bank Lending Channel,,Gil Nogueira,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.00104,MS
"Smartphone Trading Technology, Investor Behavior, and Mutual Fund Performance",,Xiao Cen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02099,MS
Financing Innovative Activity and the Endogeneity of Patenting,,Robert Marquez,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00744,MS
Intraconsumer Price Discrimination with Credit Refund Policies,,Yan Liu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.03042,MS
Overconservativeness of Variance-Based Efficiency Criteria and Probabilistic Efficiency in Rare-Event Simulation,,Yuanlu Bai,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4973,MS
Belief Updating Beyond the Two-State Setting,,Hannes Mohrschladt,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00513,MS
An fMRI Investigation of the Neurocognitive Processing of Measures and Strategic Objectives,,Paul W. Black,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01405,MS
A Decomposition of Conditional Risk Premia and Implications for Representative Agent Models,,Fousseni Chabi-Yo,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01663,MS
An Equivalence Between Fair Division and Wagering Mechanisms,,Rupert Freeman,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02615,MS
Dynamic Persuasion and Strategic Search,,Yunfei (Jesse) Yao,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.00994,MS
The Dynamic Informativeness of Scheduled News,,Julio A. Crego,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4970,MS
When Beliefs Influence the Perceived Signal Precision: The Impact of News on Reinforcement-Oriented Agents,,Stefanie Schraeder,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4941,MS
"Behavioral Microfoundations of New Practice Adoption: The Effects of Rewards, Training and Population Dynamics",,Antoine Feylessoufi,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00305,MS
A Heuristic for Combining Correlated Experts When There Are Few Data,,David Soule,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02009,MS
Exposure to the Views of Opposing Others with Latent Cognitive Differences Results in Social Influence—But Only When Those Differences Remain Obscured,,Douglas Guilbeault,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00895,MS
Analyst Coverage Networks and Corporate Financial Policies,,Armando Gomes,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4891,MS
An Experiment on Gender Representation in Majoritarian Bargaining,,Andrzej Baranski,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01800,MS
Reciprocal Human-Machine Learning: A Theory and an Instantiation for the Case of Message Classification,,Dov Te’eni,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03518,MS
Physical Frictions and Digital Banking Adoption,,Hyun-Soo Choi,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4972,MS
Organized Crime and Firms: Evidence from Antimafia Enforcement Actions,,Pablo Slutzky,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.00859,MS
Let’s Chat… When Communication Promotes Efficiency in Experimental Asset Markets,,Brice Corgnet,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4967,MS
Supply Chain Transparency and Blockchain Design,,Yao Cui,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4851,MS
Calibrating Sales Forecasts in a Pandemic Using Competitive Online Nonparametric Regression,,David Simchi-Levi,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4969,MS
CEO Activism and Firm Value,,Anahit Mkrtchyan,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4971,MS
Nonregular Employment and Payout Policy: Evidence from the Massachusetts Independent Contractor Law,,JiHoon Hwang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00103,MS
When Bonuses Backfire: Evidence from the Workplace,,Jakob Alfitian,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00484,MS
The Challenge of Understanding What Users Want: Inconsistent Preferences and Engagement Optimization,,Jon Kleinberg,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03683,MS
The Global Determinants of International Equity Risk Premiums,,Juan M. Londono,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4958,MS
Are Third-Party Fundamental Valuations Relevant in Public Company Takeovers?,,Matthew Shaffer,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4959,MS
The Stickiness of Category Labels: Audience Perception and Evaluation of Producer Repositioning in Creative Markets,,Balázs Kovács,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02070,MS
Lightning Network Economics: Channels,,Paolo Guasoni,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01664,MS
Reaching for Yield and the Cross Section of Bond Returns,,Qianwen Chen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4920,MS
"Optimal Accounting Rules, Private Benefits of Control, and Efficient Liquidation",,Xu Jiang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2019.03087,MS
Are Financial Statements More Comparable When GAAP Restricts Managers’ Discretion?,,Spencer Young,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4961,MS
Too Much Information: When Does Additional Testing Benefit Schools?,,Vanitha Virudachalam,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.01547,MS
When Myopic Managers Must Mark to Market,,Adam Kolasinski,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.03249,MS
Information Reliability and Market Outcomes,,Chihoon Cho,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03758,MS
Discrimination and Economic Expectations,,William Bazley,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02276,MS
The Value of Virtual Engagement: Evidence from a Running Platform,,Che-Wei Liu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4945,MS
Information Technology and Credit: Evidence from Public Guarantees,,Fabrizio Core,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4957,MS
Blockchain Adoption in a Supply Chain with Manufacturer Market Power,,Garud Iyengar,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02505,MS
Washington Policy Analysts and the Propagation of Political Information,,Daniel Bradley,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4919,MS
Impact of Physician Payment Scheme on Diagnostic Effort and Testing,,Elodie Adida,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4937,MS
Bandits atop Reinforcement Learning: Tackling Online Inventory Models with Cyclic Demands,,Xiao-Yue Gong,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4947,MS
Optimal Portfolio Choice with Unknown Benchmark Efficiency,,Raymond Kan,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01767,MS
Impact of Media Ownership on News Coverage,,Simi Kedia,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00653,MS
Price Delegation with Learning Agents,,Atalay Atasu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4939,MS
Incentives from Career Concerns in a Contract Package: An Empirical Investigation,,Bicheng Yang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4956,MS
Dynamic Information Regimes in Financial Markets,,Paul Glasserman,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01213,MS
"Help-and-Haggle: Social Commerce Through Randomized, All-or-Nothing Discounts",,Luyi Yang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4948,MS
(How) Does User-Generated Content Impact Content Generated by Professionals? Evidence from Local News,,Ananya Sen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4962,MS
Spanning Analysis of Stock Market Anomalies Under Prospect Stochastic Dominance,,Stelios Arvanitis,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4953,MS
The Effects of a Short-Term Corporate Social Impact Activity on Employee Turnover: Field Experimental Evidence,,Florencio F. Portocarrero,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01517,MS
Auditor Tenure and Misreporting: Evidence from a Dynamic Oligopoly Game,,Edwige Cheynel,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4944,MS
Virtual Shareholder Meetings,,Francois Brochet,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4946,MS
A Bayesian Hierarchical Model of Crowd Wisdom Based on Predicting Opinions of Others,,John McCoy,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4955,MS
"Contrarians, Extrapolators, and Stock Market Momentum and Reversal",,Adem Atmaz,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4960,MS
Dynamic Pricing with External Information and Inventory Constraint,,Xiaocheng Li,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4963,MS
The Effect of Language on Income Smoothing: Cross-Country Evidence,,Wenjiao Cao,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01753,MS
The Benefit of the Doubt: Patent Examination Under Strategic Obfuscation,,Nicolás Figueroa,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.00140,MS
Product Sales Incentive Spillovers to the Lending Market: Evidence from Subprime Auto Loan Defaults,,Mark Jansen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4935,MS
Understanding Partnership Formation and Repeated Contributions in Federated Learning: An Analytical Investigation,,Xuan Bi,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.00611,MS
Current Account Uncertainty and Currency Premia,,Pasquale Della Corte,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4949,MS
How Do Product Recommendations Help Consumers Search? Evidence from a Field Experiment,,Xiang (Shawn) Wan,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4951,MS
The Editor and the Algorithm: Recommendation Technology in Online News,,Christian Peukert,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4954,MS
Policy Learning with Adaptively Collected Data,,Ruohan Zhan,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4921,MS
Author Country of Origin and Attention on Open Science Platforms: Evidence from COVID-19 Preprints,,Caroline Fry,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4936,MS
Friend or Foe? Teaming Between Artificial Intelligence and Workers with Variation in Experience,,Weiguang Wang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.00588,MS
Emotional Engagement and Trading Performance,,Peter Bossaerts,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4883,MS
Selling Assets: Are Sellers Better Off with Strong Buyers?,,Robert Marquez,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4938,MS
Machine Learning for Demand Estimation in Long Tail Markets,,Hammaad Adam,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4893,MS
Breadth of Ownership and the Cross-Section of Corporate Bond Returns,,Jing-Zhi Huang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4950,MS
Managing Volunteers and Paid Workers in a Nonprofit Operation,,Gemma Berenguer,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4923,MS
Debtors at Play: Gaming Behavior and Consumer Credit Risk,,Shuaishuai Gong,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4931,MS
Betting on Diversity—Occupational Segregation and Gender Stereotypes,,Urs Fischbacher,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4943,MS
Ambiguous Dynamic Treatment Regimes: A Reinforcement Learning Approach,,Soroush Saghafian,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00883,MS
Bank Supervision and Corporate Credit Supply,,Ivan T. Ivanov,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4854,MS
Ensemble Experiments to Optimize Interventions Along the Customer Journey: A Reinforcement Learning Approach,,Yicheng Song,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4914,MS
Tiered Assortment: Optimization and Online Learning,,Junyu Cao,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4940,MS
Algorithm Aversion: Evidence from Ridesharing Drivers,,Meng Liu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02475,MS
Equity and Efficiency in Dynamic Matching: Extreme Waitlist Policies,,Afshin Nikzad,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.01212,MS
Leader Signals and “Growth Mindset”: A Natural Field Experiment in Attracting Minorities to High-Profile Positions,,Jeffrey A. Flory,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4909,MS
Secretary Problems with Biased Evaluations Using Partial Ordinal Information,,Jad Salem,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4926,MS
Housing Cycles and Exchange Rates,,Sai Ma,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4932,MS
Benefit of Consumer Showrooming for a Physical Retailer: A Distribution Channel Perspective,,Lin Hao,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.01990,MS
Partisan Return Gap: The Polarized Stock Market in the Time of a Pandemic,,Jinfei Sheng,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4913,MS
Tick Size and Earnings Guidance in Small-Cap Firms: Evidence from the SEC’s Tick Size Pilot Program,,Yangyang Chen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4930,MS
Blind Dynamic Resource Allocation in Closed Networks via Mirror Backpressure,,Yash Kanoria,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4934,MS
